session,order_fast_to_slow,setting,dataset,backbone,method,method_label,seeds,batch_size,estimated_minutes_t4_per_seed,estimated_minutes_t4_all_seeds,estimated_session_hours_t4
1,1,DTD / ResNet-18,dtd,resnet18@torchvision,linear,Linear,"0,1,2",32,8,24,7.8
1,2,DTD / ResNet-18,dtd,resnet18@torchvision,full,Full,"0,1,2",32,28,84,7.8
1,3,Pet segmentation / LR-ASPP MobileNetV3-L,oxford_pet_segmentation,lraspp_mobilenet_v3_large@torchvision,full,Full,"0,1,2",8,120,360,7.8
2,1,DTD / ResNet-18,dtd,resnet18@torchvision,trso,Proposal,"0,1,2",32,22,66,7.8
2,2,Flowers / ViT-B16,flowers102,vit_b_16@torchvision,arc,ARC,"0,1,2",16,39,117,7.8
2,3,DTD / ViT-B16,dtd,vit_b_16@torchvision,full,Full,"0,1,2",8,95,285,7.8
3,1,Pet segmentation / LR-ASPP MobileNetV3-L,oxford_pet_segmentation,lraspp_mobilenet_v3_large@torchvision,linear,Linear,"0,1,2",8,25,75,7.5
3,2,Flowers / ViT-B16,flowers102,vit_b_16@torchvision,vpt_deep,VPT-Deep,"0,1,2",16,40,120,7.5
3,3,DTD / Swin-T,dtd,swin_t@torchvision,full,Full,"0,1,2",32,85,255,7.5
4,1,Pet / ResNet-18,oxfordiiitpet,resnet18@torchvision,trso,Proposal,"0,1,2",32,24,72,7.45
4,2,VOC2007 / MobileNetV3-S,voc2007,mobilenet_v3_small@torchvision,trso,Proposal,"0,1,2",32,40,120,7.45
4,3,Pet / Swin-T,oxfordiiitpet,swin_t@torchvision,full,Full,"0,1,2",32,85,255,7.45
5,1,Flowers / ResNet-18,flowers102,resnet18@torchvision,linear,Linear,"0,1,2",32,7,21,7.75
5,2,DTD / ResNet-50,dtd,resnet50@torchvision,prompt,Visual Prompting,"0,1,2",16,28,84,7.75
5,3,Flowers / Swin-T,flowers102,swin_t@torchvision,trso,Proposal,"0,1,2",32,40,120,7.75
5,4,Pet segmentation / LR-ASPP MobileNetV3-L,oxford_pet_segmentation,lraspp_mobilenet_v3_large@torchvision,trso,Proposal,"0,1,2",8,80,240,7.75
6,1,VOC2007 / MobileNetV3-S,voc2007,mobilenet_v3_small@torchvision,linear,Linear,"0,1,2",32,12,36,7.95
6,2,Flowers / ViT-B16,flowers102,vit_b_16@torchvision,vpt_shallow,VPT-Shallow,"0,1,2",16,30,90,7.95
6,3,Flowers / ViT-B16,flowers102,vit_b_16@torchvision,convpass,ConvPass,"0,1,2",16,42,126,7.95
6,4,Flowers / ViT-B16,flowers102,vit_b_16@torchvision,full,Full,"0,1,2",16,75,225,7.95
7,1,Pet / ResNet-18,oxfordiiitpet,resnet18@torchvision,linear,Linear,"0,1,2",32,9,27,7.8
7,2,Pet / ResNet-18,oxfordiiitpet,resnet18@torchvision,full,Full,"0,1,2",32,30,90,7.8
7,3,Flowers / ViT-B16,flowers102,vit_b_16@torchvision,trso,Proposal,"0,1,2",16,42,126,7.8
7,4,Pet segmentation / LR-ASPP MobileNetV3-L,oxford_pet_segmentation,lraspp_mobilenet_v3_large@torchvision,segadapter,SegAdapter,"0,1,2",8,75,225,7.8
8,1,Flowers / Swin-T,flowers102,swin_t@torchvision,linear,Linear,"0,1,2",32,14,42,7.95
8,2,DTD / ResNet-50,dtd,resnet50@torchvision,trso,Proposal,"0,1,2",16,33,99,7.95
8,3,DTD / ViT-B16,dtd,vit_b_16@torchvision,ssf,SSF,"0,1,2",8,42,126,7.95
8,4,DTD / ViT-B16,dtd,vit_b_16@torchvision,spt_adapter,SPT-Adapter,"0,1,2",8,70,210,7.95
9,1,DTD / ResNet-50,dtd,resnet50@torchvision,linear,Linear,"0,1,2",16,12,36,7.85
9,2,Flowers / ViT-B16,flowers102,vit_b_16@torchvision,ssf,SSF,"0,1,2",16,34,102,7.85
9,3,DTD / ViT-B16,dtd,vit_b_16@torchvision,vqt,VQT,"0,1,2",8,43,129,7.85
9,4,DTD / ViT-B16,dtd,vit_b_16@torchvision,spt_lora,SPT-LoRA,"0,1,2",8,68,204,7.85
10,1,Flowers / ResNet-18,flowers102,resnet18@torchvision,prompt,Visual Prompting,"0,1,2",32,14,42,7.85
10,2,DTD / ResNet-50,dtd,resnet50@torchvision,conv,Conv-Adapter,"0,1,2",16,34,102,7.85
10,3,DTD / ViT-B16,dtd,vit_b_16@torchvision,fact_tt,FacT-TT,"0,1,2",8,44,132,7.85
10,4,Flowers / Swin-T,flowers102,swin_t@torchvision,full,Full,"0,1,2",32,65,195,7.85
11,1,Flowers / ViT-B16,flowers102,vit_b_16@torchvision,linear,Linear,"0,1,2",16,15,45,7.6
11,2,Flowers / ViT-B16,flowers102,vit_b_16@torchvision,vqt,VQT,"0,1,2",16,35,105,7.6
11,3,Pet / Swin-T,oxfordiiitpet,swin_t@torchvision,ssf,SSF,"0,1,2",32,45,135,7.6
11,4,Flowers / ViT-B16,flowers102,vit_b_16@torchvision,spt_adapter,SPT-Adapter,"0,1,2",16,57,171,7.6
12,1,DTD / ViT-B16,dtd,vit_b_16@torchvision,linear,Linear,"0,1,2",8,18,54,7.7
12,2,Flowers / Swin-T,flowers102,swin_t@torchvision,ssf,SSF,"0,1,2",32,36,108,7.7
12,3,DTD / ViT-B16,dtd,vit_b_16@torchvision,adaptformer,AdaptFormer,"0,1,2",8,45,135,7.7
