session,order_fast_to_slow,group_id,study,setting,variant,seeds,reviewer_requirements,estimated_minutes_t4_per_run,estimated_group_minutes_t4,estimated_session_hours_t4,controls_json
1,1,calibration__dtd_resnet18__frac_0p5_random_p0,calibration,DTD / ResNet-18,frac_0.5_random_p0,0,"R1-C3,R2-C1,R2-C5",22,22,7.57,"{""calibration_fraction"": 0.5, ""partition_mode"": ""seeded_random"", ""partition_seed"": 0}"
1,2,calibration__flowers_vit_b16__frac_0p25_random_p1,calibration,Flowers-102 / ViT-B16,frac_0.25_random_p1,0,"R1-C3,R2-C1,R2-C5",42,42,7.57,"{""calibration_fraction"": 0.25, ""partition_mode"": ""seeded_random"", ""partition_seed"": 1}"
1,3,reliability__dtd_resnet50__no_sampling_variance,reliability,DTD / ResNet-50,no_sampling_variance,"0,1,2",R2-C2,33,99,7.57,"{""trso_ablation"": ""no_sampling_variance""}"
1,4,mode_rules__flowers_vit_b16__arithmetic,mode_rules,Flowers-102 / ViT-B16,arithmetic,"0,1,2","R2-C3,R3-C1,R3-C2,R3-C3",42,126,7.57,"{""mode_rule"": ""arithmetic""}"
1,5,lora_rank_sweep__dtd_vit_b16__lora_r1,lora_rank_sweep,DTD / ViT-B16,lora_r1,"0,1,2","R1-C5,R2-C3,R3-C4",55,165,7.57,"{""lora_rank"": 1}"
2,1,calibration__flowers_vit_b16__frac_0p25_random_p2,calibration,Flowers-102 / ViT-B16,frac_0.25_random_p2,0,"R1-C3,R2-C1,R2-C5",42,42,7.75,"{""calibration_fraction"": 0.25, ""partition_mode"": ""seeded_random"", ""partition_seed"": 2}"
2,2,batch_sensitivity__dtd_resnet18__calib_batch_16,batch_sensitivity,DTD / ResNet-18,calib_batch_16,"0,1,2","R1-C3,R2-C5",22,66,7.75,"{""calibration_batch_size"": 16}"
2,3,calibration__dtd_resnet18__frac_1_alternating,calibration,DTD / ResNet-18,frac_1_alternating,"0,1,2","R1-C3,R2-C1,R2-C5",22,66,7.75,"{""calibration_fraction"": 1.0, ""partition_mode"": ""alternating"", ""partition_seed"": 0}"
2,4,mode_rules__flowers_vit_b16__geometric,mode_rules,Flowers-102 / ViT-B16,geometric,"0,1,2","R2-C3,R3-C1,R3-C2,R3-C3",42,126,7.75,"{""mode_rule"": ""geometric""}"
2,5,lora_rank_sweep__dtd_vit_b16__lora_r16,lora_rank_sweep,DTD / ViT-B16,lora_r16,"0,1,2","R1-C5,R2-C3,R3-C4",55,165,7.75,"{""lora_rank"": 16}"
3,1,calibration__flowers_vit_b16__frac_0p5_random_p0,calibration,Flowers-102 / ViT-B16,frac_0.5_random_p0,0,"R1-C3,R2-C1,R2-C5",42,42,7.75,"{""calibration_fraction"": 0.5, ""partition_mode"": ""seeded_random"", ""partition_seed"": 0}"
3,2,batch_sensitivity__dtd_resnet18__calib_batch_32,batch_sensitivity,DTD / ResNet-18,calib_batch_32,"0,1,2","R1-C3,R2-C5",22,66,7.75,"{""calibration_batch_size"": 32}"
3,3,mode_rules__dtd_resnet18__arithmetic,mode_rules,DTD / ResNet-18,arithmetic,"0,1,2","R2-C3,R3-C1,R3-C2,R3-C3",22,66,7.75,"{""mode_rule"": ""arithmetic""}"
3,4,mode_rules__flowers_vit_b16__harmonic,mode_rules,Flowers-102 / ViT-B16,harmonic,"0,1,2","R2-C3,R3-C1,R3-C2,R3-C3",42,126,7.75,"{""mode_rule"": ""harmonic""}"
3,5,lora_rank_sweep__dtd_vit_b16__lora_r2,lora_rank_sweep,DTD / ViT-B16,lora_r2,"0,1,2","R1-C5,R2-C3,R3-C4",55,165,7.75,"{""lora_rank"": 2}"
4,1,calibration__flowers_vit_b16__frac_0p5_random_p1,calibration,Flowers-102 / ViT-B16,frac_0.5_random_p1,0,"R1-C3,R2-C1,R2-C5",42,42,7.75,"{""calibration_fraction"": 0.5, ""partition_mode"": ""seeded_random"", ""partition_seed"": 1}"
4,2,batch_sensitivity__dtd_resnet18__calib_batch_64,batch_sensitivity,DTD / ResNet-18,calib_batch_64,"0,1,2","R1-C3,R2-C5",22,66,7.75,"{""calibration_batch_size"": 64}"
4,3,mode_rules__dtd_resnet18__geometric,mode_rules,DTD / ResNet-18,geometric,"0,1,2","R2-C3,R3-C1,R3-C2,R3-C3",22,66,7.75,"{""mode_rule"": ""geometric""}"
4,4,mode_rules__flowers_vit_b16__shannon,mode_rules,Flowers-102 / ViT-B16,shannon,"0,1,2","R2-C3,R3-C1,R3-C2,R3-C3",42,126,7.75,"{""mode_rule"": ""shannon""}"
4,5,lora_rank_sweep__dtd_vit_b16__lora_r32,lora_rank_sweep,DTD / ViT-B16,lora_r32,"0,1,2","R1-C5,R2-C3,R3-C4",55,165,7.75,"{""lora_rank"": 32}"
5,1,calibration__flowers_vit_b16__frac_0p5_random_p2,calibration,Flowers-102 / ViT-B16,frac_0.5_random_p2,0,"R1-C3,R2-C1,R2-C5",42,42,7.75,"{""calibration_fraction"": 0.5, ""partition_mode"": ""seeded_random"", ""partition_seed"": 2}"
5,2,batch_sensitivity__dtd_resnet18__calib_batch_8,batch_sensitivity,DTD / ResNet-18,calib_batch_8,"0,1,2","R1-C3,R2-C5",22,66,7.75,"{""calibration_batch_size"": 8}"
5,3,mode_rules__dtd_resnet18__harmonic,mode_rules,DTD / ResNet-18,harmonic,"0,1,2","R2-C3,R3-C1,R3-C2,R3-C3",22,66,7.75,"{""mode_rule"": ""harmonic""}"
5,4,r_scale__flowers_vit_b16__rscale_0p5,r_scale,Flowers-102 / ViT-B16,rscale_0.5,"0,1,2",R2-C3,42,126,7.75,"{""r_scale"": 0.5}"
5,5,lora_rank_sweep__dtd_vit_b16__lora_r4,lora_rank_sweep,DTD / ViT-B16,lora_r4,"0,1,2","R1-C5,R2-C3,R3-C4",55,165,7.75,"{""lora_rank"": 4}"
6,1,calibration__flowers_vit_b16__frac_1_random_p0,calibration,Flowers-102 / ViT-B16,frac_1_random_p0,0,"R1-C3,R2-C1,R2-C5",42,42,7.75,"{""calibration_fraction"": 1.0, ""partition_mode"": ""seeded_random"", ""partition_seed"": 0}"
6,2,calibration__dtd_resnet18__frac_0p25_alternating,calibration,DTD / ResNet-18,frac_0.25_alternating,"0,1,2","R1-C3,R2-C1,R2-C5",22,66,7.75,"{""calibration_fraction"": 0.25, ""partition_mode"": ""alternating"", ""partition_seed"": 0}"
6,3,mode_rules__dtd_resnet18__shannon,mode_rules,DTD / ResNet-18,shannon,"0,1,2","R2-C3,R3-C1,R3-C2,R3-C3",22,66,7.75,"{""mode_rule"": ""shannon""}"
6,4,r_scale__flowers_vit_b16__rscale_1,r_scale,Flowers-102 / ViT-B16,rscale_1,"0,1,2",R2-C3,42,126,7.75,"{""r_scale"": 1.0}"
6,5,lora_rank_sweep__dtd_vit_b16__lora_r64,lora_rank_sweep,DTD / ViT-B16,lora_r64,"0,1,2","R1-C5,R2-C3,R3-C4",55,165,7.75,"{""lora_rank"": 64}"
7,1,calibration__flowers_vit_b16__frac_1_random_p1,calibration,Flowers-102 / ViT-B16,frac_1_random_p1,0,"R1-C3,R2-C1,R2-C5",42,42,7.75,"{""calibration_fraction"": 1.0, ""partition_mode"": ""seeded_random"", ""partition_seed"": 1}"
7,2,calibration__dtd_resnet18__frac_0p5_alternating,calibration,DTD / ResNet-18,frac_0.5_alternating,"0,1,2","R1-C3,R2-C1,R2-C5",22,66,7.75,"{""calibration_fraction"": 0.5, ""partition_mode"": ""alternating"", ""partition_seed"": 0}"
7,3,r_scale__dtd_resnet18__rscale_0p5,r_scale,DTD / ResNet-18,rscale_0.5,"0,1,2",R2-C3,22,66,7.75,"{""r_scale"": 0.5}"
