session,order_fast_to_slow,group_id,study,setting,variant,seeds,reviewer_requirements,estimated_minutes_t4_per_run,estimated_group_minutes_t4,estimated_session_hours_t4,controls_json
1,1,batch_sensitivity__dtd_resnet18__calib_batch_8,batch_sensitivity,DTD / ResNet-18,calib_batch_8,"0,1,2","R1-C3,R2-C5",22,66,7.05,"{""calibration_batch_size"": 8}"
1,2,r_scale__dtd_resnet18__rscale_2,r_scale,DTD / ResNet-18,rscale_2,"0,1,2",R2-C3,22,66,7.05,"{""r_scale"": 2.0}"
1,3,calibration__flowers_vit_b16__frac_0p25_alternating,calibration,Flowers-102 / ViT-B16,frac_0.25_alternating,"0,1,2","R1-C3,R2-C1,R2-C5",42,126,7.05,"{""calibration_fraction"": 0.25, ""partition_mode"": ""alternating"", ""partition_seed"": 0}"
1,4,lora_rank_sweep__dtd_vit_b16__lora_r1,lora_rank_sweep,DTD / ViT-B16,lora_r1,"0,1,2","R1-C5,R2-C3,R3-C4",55,165,7.05,"{""lora_rank"": 1}"
2,1,calibration__dtd_resnet18__frac_0p25_alternating,calibration,DTD / ResNet-18,frac_0.25_alternating,"0,1,2","R1-C3,R2-C1,R2-C5",22,66,7.05,"{""calibration_fraction"": 0.25, ""partition_mode"": ""alternating"", ""partition_seed"": 0}"
2,2,reliability__dtd_resnet18__diagonal_only,reliability,DTD / ResNet-18,diagonal_only,"0,1,2",R2-C2,22,66,7.05,"{""trso_ablation"": ""diagonal_only""}"
2,3,calibration__flowers_vit_b16__frac_0p5_alternating,calibration,Flowers-102 / ViT-B16,frac_0.5_alternating,"0,1,2","R1-C3,R2-C1,R2-C5",42,126,7.05,"{""calibration_fraction"": 0.5, ""partition_mode"": ""alternating"", ""partition_seed"": 0}"
2,4,lora_rank_sweep__dtd_vit_b16__lora_r16,lora_rank_sweep,DTD / ViT-B16,lora_r16,"0,1,2","R1-C5,R2-C3,R3-C4",55,165,7.05,"{""lora_rank"": 16}"
3,1,calibration__dtd_resnet18__frac_0p5_alternating,calibration,DTD / ResNet-18,frac_0.5_alternating,"0,1,2","R1-C3,R2-C1,R2-C5",22,66,7.05,"{""calibration_fraction"": 0.5, ""partition_mode"": ""alternating"", ""partition_seed"": 0}"
3,2,reliability__dtd_resnet18__no_crossfit,reliability,DTD / ResNet-18,no_crossfit,"0,1,2",R2-C2,22,66,7.05,"{""trso_ablation"": ""no_crossfit""}"
3,3,reliability__flowers_vit_b16__diagonal_only,reliability,Flowers-102 / ViT-B16,diagonal_only,"0,1,2",R2-C2,42,126,7.05,"{""trso_ablation"": ""diagonal_only""}"
3,4,lora_rank_sweep__dtd_vit_b16__lora_r2,lora_rank_sweep,DTD / ViT-B16,lora_r2,"0,1,2","R1-C5,R2-C3,R3-C4",55,165,7.05,"{""lora_rank"": 2}"
4,1,mode_rules__dtd_resnet18__arithmetic,mode_rules,DTD / ResNet-18,arithmetic,"0,1,2","R2-C3,R3-C1,R3-C2,R3-C3",22,66,7.05,"{""mode_rule"": ""arithmetic""}"
4,2,reliability__dtd_resnet18__no_sampling_variance,reliability,DTD / ResNet-18,no_sampling_variance,"0,1,2",R2-C2,22,66,7.05,"{""trso_ablation"": ""no_sampling_variance""}"
4,3,reliability__flowers_vit_b16__no_crossfit,reliability,Flowers-102 / ViT-B16,no_crossfit,"0,1,2",R2-C2,42,126,7.05,"{""trso_ablation"": ""no_crossfit""}"
4,4,lora_rank_sweep__dtd_vit_b16__lora_r32,lora_rank_sweep,DTD / ViT-B16,lora_r32,"0,1,2","R1-C5,R2-C3,R3-C4",55,165,7.05,"{""lora_rank"": 32}"
5,1,calibration__dtd_resnet18__frac_1_random_p0,calibration,DTD / ResNet-18,frac_1_random_p0,0,"R1-C3,R2-C1,R2-C5",22,22,7.02,"{""calibration_fraction"": 1.0, ""partition_mode"": ""seeded_random"", ""partition_seed"": 0}"
5,2,calibration__flowers_vit_b16__frac_1_random_p0,calibration,Flowers-102 / ViT-B16,frac_1_random_p0,0,"R1-C3,R2-C1,R2-C5",42,42,7.02,"{""calibration_fraction"": 1.0, ""partition_mode"": ""seeded_random"", ""partition_seed"": 0}"
5,3,mode_rules__dtd_resnet18__harmonic,mode_rules,DTD / ResNet-18,harmonic,"0,1,2","R2-C3,R3-C1,R3-C2,R3-C3",22,66,7.02,"{""mode_rule"": ""harmonic""}"
5,4,reliability__flowers_vit_b16__no_sampling_variance,reliability,Flowers-102 / ViT-B16,no_sampling_variance,"0,1,2",R2-C2,42,126,7.02,"{""trso_ablation"": ""no_sampling_variance""}"
5,5,lora_rank_sweep__dtd_vit_b16__lora_r4,lora_rank_sweep,DTD / ViT-B16,lora_r4,"0,1,2","R1-C5,R2-C3,R3-C4",55,165,7.02,"{""lora_rank"": 4}"
6,1,calibration__flowers_vit_b16__frac_1_random_p1,calibration,Flowers-102 / ViT-B16,frac_1_random_p1,0,"R1-C3,R2-C1,R2-C5",42,42,6.75,"{""calibration_fraction"": 1.0, ""partition_mode"": ""seeded_random"", ""partition_seed"": 1}"
6,2,reliability__dtd_resnet50__diagonal_only,reliability,DTD / ResNet-50,diagonal_only,"0,1,2",R2-C2,33,99,6.75,"{""trso_ablation"": ""diagonal_only""}"
6,3,reliability__dtd_resnet50__no_crossfit,reliability,DTD / ResNet-50,no_crossfit,"0,1,2",R2-C2,33,99,6.75,"{""trso_ablation"": ""no_crossfit""}"
6,4,lora_rank_sweep__dtd_vit_b16__lora_r8,lora_rank_sweep,DTD / ViT-B16,lora_r8,"0,1,2","R1-C5,R2-C3,R3-C4",55,165,6.75,"{""lora_rank"": 8}"
7,1,calibration__flowers_vit_b16__frac_1_random_p2,calibration,Flowers-102 / ViT-B16,frac_1_random_p2,0,"R1-C3,R2-C1,R2-C5",42,42,6.85,"{""calibration_fraction"": 1.0, ""partition_mode"": ""seeded_random"", ""partition_seed"": 2}"
7,2,reliability__dtd_resnet50__no_sampling_variance,reliability,DTD / ResNet-50,no_sampling_variance,"0,1,2",R2-C2,33,99,6.85,"{""trso_ablation"": ""no_sampling_variance""}"
7,3,lora_rank_sweep__flowers_vit_b16__lora_r1,lora_rank_sweep,Flowers-102 / ViT-B16,lora_r1,"0,1,2","R1-C5,R2-C3,R3-C4",45,135,6.85,"{""lora_rank"": 1}"
7,4,lora_rank_sweep__flowers_vit_b16__lora_r32,lora_rank_sweep,Flowers-102 / ViT-B16,lora_r32,"0,1,2","R1-C5,R2-C3,R3-C4",45,135,6.85,"{""lora_rank"": 32}"
8,1,calibration__dtd_resnet18__frac_1_random_p1,calibration,DTD / ResNet-18,frac_1_random_p1,0,"R1-C3,R2-C1,R2-C5",22,22,7.07,"{""calibration_fraction"": 1.0, ""partition_mode"": ""seeded_random"", ""partition_seed"": 1}"
8,2,batch_sensitivity__dtd_resnet18__calib_batch_16,batch_sensitivity,DTD / ResNet-18,calib_batch_16,"0,1,2","R1-C3,R2-C5",22,66,7.07,"{""calibration_batch_size"": 16}"
8,3,mode_rules__dtd_resnet18__shannon,mode_rules,DTD / ResNet-18,shannon,"0,1,2","R2-C3,R3-C1,R3-C2,R3-C3",22,66,7.07,"{""mode_rule"": ""shannon""}"
8,4,lora_rank_sweep__flowers_vit_b16__lora_r16,lora_rank_sweep,Flowers-102 / ViT-B16,lora_r16,"0,1,2","R1-C5,R2-C3,R3-C4",45,135,7.07,"{""lora_rank"": 16}"
8,5,lora_rank_sweep__flowers_vit_b16__lora_r4,lora_rank_sweep,Flowers-102 / ViT-B16,lora_r4,"0,1,2","R1-C5,R2-C3,R3-C4",45,135,7.07,"{""lora_rank"": 4}"
9,1,calibration__dtd_resnet18__frac_1_random_p2,calibration,DTD / ResNet-18,frac_1_random_p2,0,"R1-C3,R2-C1,R2-C5",22,22,7.07,"{""calibration_fraction"": 1.0, ""partition_mode"": ""seeded_random"", ""partition_seed"": 2}"
